index,mid,display_name,blacklist
0,/m/09x0r,Speech,
1,/m/05zppz,"Male speech, man speaking",x
2,/m/02zsn,"Female speech, woman speaking",x
3,/m/0ytgt,"Child speech, kid speaking",x
4,/m/01h8n0,Conversation,x
5,/m/02qldy,"Narration, monologue",x
6,/m/0261r1,Babbling,x
7,/m/0brhx,Speech synthesizer,x
8,/m/07p6fty,Shout,x
9,/m/07q4ntr,Bellow,x
10,/m/07rwj3x,Whoop,x
11,/m/07sr1lc,Yell,x
12,/m/04gy_2,Battle cry,x
13,/t/dd00135,Children shouting,x
14,/m/03qc9zr,Screaming,x
15,/m/02rtxlg,Whispering,x
16,/m/01j3sz,Laughter,x
17,/t/dd00001,Baby laughter,x
18,/m/07r660_,Giggle,x
19,/m/07s04w4,Snicker,x
20,/m/07sq110,Belly laugh,x
21,/m/07rgt08,"Chuckle, chortle",x
22,/m/0463cq4,"Crying, sobbing",x
23,/t/dd00002,"Baby cry, infant cry",x
24,/m/07qz6j3,Whimper,x
25,/m/07qw_06,"Wail, moan",x
26,/m/07plz5l,Sigh,x
27,/m/015lz1,Singing,x
28,/m/0l14jd,Choir,x
29,/m/01swy6,Yodeling,x
30,/m/02bk07,Chant,x
31,/m/01c194,Mantra,x
32,/t/dd00003,Male singing,x
33,/t/dd00004,Female singing,x
34,/t/dd00005,Child singing,x
35,/t/dd00006,Synthetic singing,x
36,/m/06bxc,Rapping,x
37,/m/02fxyj,Humming,x
38,/m/07s2xch,Groan,x
39,/m/07r4k75,Grunt,x
40,/m/01w250,Whistling,x
41,/m/0lyf6,Breathing,x
42,/m/07mzm6,Wheeze,x
43,/m/01d3sd,Snoring,x
44,/m/07s0dtb,Gasp,x
45,/m/07pyy8b,Pant,x
46,/m/07q0yl5,Snort,x
47,/m/01b_21,Cough,
48,/m/0dl9sf8,Throat clearing,x
49,/m/01hsr_,Sneeze,x
50,/m/07ppn3j,Sniff,x
51,/m/06h7j,Run,
52,/m/07qv_x_,Shuffle,x
53,/m/07pbtc8,"Walk, footsteps",
54,/m/03cczk,"Chewing, mastication",x
